,Article,link,PART,TITLE,Content,combined,token_count
0,Article 1: Scope,/regulation-and-policy/single-rulebook/interactive-single-rulebook/12668,PART ONE: GENERAL PROVISIONS,"TITLE I: SUBJECT MATTER, SCOPE AND DEFINITIONS","
Scope

This Regulation lays down uniform rules concerning general prudential requirements that institutions, financial holding companies and mixed financial holding companies supervised under Directive 2013/36/EU shall comply with in relation to the following items:


(a) 


own funds requirements relating to entirely quantifiable, uniform and standardised elements of credit risk, market risk, operational risk, settlement risk and leverage;




(b) 


requirements limiting large exposures;




(c) 


liquidity requirements relating to entirely quantifiable, uniform and standardised elements of liquidity risk;




(d) 


reporting requirements related to points (a), (b) and (c);




(e) 


public disclosure requirements.


This Regulation lays down uniform rules concerning the own funds and eligible liabilities requirements that resolution entities that are global systemically important institutions (G-SIIs) or part of G-SIIs and material subsidiaries of non-EU G-SIIs shall comply with.
This Regulation does not govern publication requirements for competent authorities in the field of prudential regulation and supervision of institutions as set out in Directive 2013/36/EU.","Author: EUROPEAN BANKING AUTHORITY (EBA); Title: Capital Requirements Regulation (CRR); PART ONE: GENERAL PROVISIONS; TITLE I: SUBJECT MATTER, SCOPE AND DEFINITIONS; Article 1: Scope; Content: 
Scope

This Regulation lays down uniform rules concerning general prudential requirements that institutions, financial holding companies and mixed financial holding companies supervised under Directive 2013/36/EU shall comply with in relation to the following items:


(a) 


own funds requirements relating to entirely quantifiable, uniform and standardised elements of credit risk, market risk, operational risk, settlement risk and leverage;




(b) 


requirements limiting large exposures;




(c) 


liquidity requirements relating to entirely quantifiable, uniform and standardised elements of liquidity risk;




(d) 


reporting requirements related to points (a), (b) and (c);




(e) 


public disclosure requirements.


This Regulation lays down uniform rules concerning the own funds and eligible liabilities requirements that resolution entities that are global systemically important institutions (G-SIIs) or part of G-SIIs and material subsidiaries of non-EU G-SIIs shall comply with.
This Regulation does not govern publication requirements for competent authorities in the field of prudential regulation and supervision of institutions as set out in Directive 2013/36/EU.",276
1,Article 2: Supervisory powers,/regulation-and-policy/single-rulebook/interactive-single-rulebook/12669,PART ONE: GENERAL PROVISIONS,"TITLE I: SUBJECT MATTER, SCOPE AND DEFINITIONS","
Supervisory powers


1.  
For the purpose of ensuring compliance with this Regulation, competent authorities shall have the powers and shall follow the procedures set out in Directive 2013/36/EU and in this Regulation.


2.  
For the purpose of ensuring compliance with this Regulation, resolution authorities shall have the powers and shall follow the procedures set out in Directive 2014/59/EU of the European Parliament and of the Council (
1
) and in this Regulation.


3.  
For the purpose of ensuring compliance with the requirements concerning own funds and eligible liabilities, competent authorities and resolution authorities shall cooperate.


4.  
For the purpose of ensuring compliance within their respective competences, the Single Resolution Board established by Article 42 of Regulation (EU) No 806/2014 of the European Parliament and of the Council (
2
), and the European Central Bank with regard to matters relating to the tasks conferred on it by Council Regulation (EU) No 1024/2013 (
3
), shall ensure the regular and reliable exchange of relevant information.


5.  
When applying the provisions laid down in Article 1(2) and 1(5) of Regulation (EU) 2019/2033 of the European Parliament and of the Council (
4
) with regard to investment firms referred to in those paragraphs, the competent authorities as defined in point (5) of Article 3(1) of Directive (EU) 2019/2034 of the European Parliament and of the Council (
5
) shall treat those investment firms as if they were ‘institutions’ under this Regulation.
","Author: EUROPEAN BANKING AUTHORITY (EBA); Title: Capital Requirements Regulation (CRR); PART ONE: GENERAL PROVISIONS; TITLE I: SUBJECT MATTER, SCOPE AND DEFINITIONS; Article 2: Supervisory powers; Content: 
Supervisory powers


1.  
For the purpose of ensuring compliance with this Regulation, competent authorities shall have the powers and shall follow the procedures set out in Directive 2013/36/EU and in this Regulation.


2.  
For the purpose of ensuring compliance with this Regulation, resolution authorities shall have the powers and shall follow the procedures set out in Directive 2014/59/EU of the European Parliament and of the Council (
1
) and in this Regulation.


3.  
For the purpose of ensuring compliance with the requirements concerning own funds and eligible liabilities, competent authorities and resolution authorities shall cooperate.


4.  
For the purpose of ensuring compliance within their respective competences, the Single Resolution Board established by Article 42 of Regulation (EU) No 806/2014 of the European Parliament and of the Council (
2
), and the European Central Bank with regard to matters relating to the tasks conferred on it by Council Regulation (EU) No 1024/2013 (
3
), shall ensure the regular and reliable exchange of relevant information.


5.  
When applying the provisions laid down in Article 1(2) and 1(5) of Regulation (EU) 2019/2033 of the European Parliament and of the Council (
4
) with regard to investment firms referred to in those paragraphs, the competent authorities as defined in point (5) of Article 3(1) of Directive (EU) 2019/2034 of the European Parliament and of the Council (
5
) shall treat those investment firms as if they were ‘institutions’ under this Regulation.
",395
2,Article 3: Application of stricter requirements by institutions,/regulation-and-policy/single-rulebook/interactive-single-rulebook/12670,PART ONE: GENERAL PROVISIONS,"TITLE I: SUBJECT MATTER, SCOPE AND DEFINITIONS","
Application of stricter requirements by institutions

This Regulation shall not prevent institutions from holding own funds and their components in excess of, or applying measures that are stricter than those required by this Regulation.","Author: EUROPEAN BANKING AUTHORITY (EBA); Title: Capital Requirements Regulation (CRR); PART ONE: GENERAL PROVISIONS; TITLE I: SUBJECT MATTER, SCOPE AND DEFINITIONS; Article 3: Application of stricter requirements by institutions; Content: 
Application of stricter requirements by institutions

This Regulation shall not prevent institutions from holding own funds and their components in excess of, or applying measures that are stricter than those required by this Regulation.",97
